id,affability,affabilitycountry,africanm,africanmcountry,africanw,africanwcountry,age,americanm,americanmcountry,americanw,americanwcountry,eastasianm,eastasianmcountry,eastasianw,eastasianwcountry,emotionalsensitivity,emotionalsensitivitycountry,health,healthcountry,humor,humorcountry,intelligence,intelligencecountry,middleeasternm,middleeasternmcountry,middleeasternw,middleeasternwcountry,orientation,physicalattractiveness,physicalattractivenesscountry,socialstatus,socialstatuscountry,southasianm,southasianmcountry,southasianw,southasianwcountry,wealth,wealthcountry,what_country_do_you_live_in,your_ethnicity,yourgender,gender,region,url
1970624779,7,7,,,5,5,25-30,,,5,5,,,5,5,7,7,7,7,7,7,7,7,,,5,5,Women,7,7,7,7,,,3,3,7,7,Turkey,Beyaz,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970629242,6,6,,,5,5,18-24,,,5,5,,,5,5,7,7,6,7,7,7,7,7,,,5,5,Women,6,6,7,7,,,4,5,6,6,India,South Asian,Female,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970629698,6,6,,,3,4,31-45,,,5,5,,,4,4,6,6,6,6,6,6,6,6,,,3,3,Women,7,7,6,6,,,3,4,6,6,India,South Asian,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970631330,4,4,,,4,5,18-24,,,5,4,,,5,4,7,3,5,2,5,7,5,6,,,4,2,Women,5,7,1,6,,,5,4,2,6,USA,White,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970635770,6,5,3,3,,,61+,4,4,,,3,3,,,6,1,7,6,5,4,7,2,3,3,,,Men,2,7,2,6,3,3,,,4,7,USA,White,Female,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970636468,5,4,,,4,4,18-24,,,4,4,,,5,5,6,7,5,5,6,5,6,5,,,3,4,Women,5,6,5,4,,,3,3,7,6,USA,South Asian,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970637800,7,7,5,3,,,31-45,3,3,,,3,3,,,7,5,7,5,7,5,7,7,2,2,,,Men,4,7,7,4,3,3,,,7,7,USA,Black,Female,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970638118,5,5,,,4,4,25-30,,,4,3,,,4,3,3,4,3,3,6,6,6,4,,,3,4,Women,5,6,3,3,,,4,3,4,4,USA,White,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970639083,7,7,,,4,2,31-45,,,3,3,,,5,4,7,7,6,7,6,6,7,7,,,4,3,Women,6,6,6,6,,,3,4,6,6,India,South Asian,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970640705,4,7,,,3,3,31-45,,,4,3,,,3,3,7,4,7,7,5,7,5,7,,,2,2,Women,4,7,5,3,,,3,3,4,7,USA,Latino/Hispanic,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970649673,7,5,,,4,2,31-45,,,4,2,,,4,3,7,7,6,7,7,5,7,4,,,4,2,Women,6,7,1,6,,,4,2,3,5,USA,Latino/Hispanic,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970651209,7,7,,,5,5,18-24,,,5,5,,,5,5,6,7,7,7,6,6,7,6,,,5,5,Women,6,6,7,6,,,5,5,6,6,India,South Asian,Female,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970653759,6,6,,,4,4,18-24,,,5,5,,,5,5,6,7,7,7,6,7,7,7,,,4,4,Women,6,7,6,7,,,4,4,6,6,India,East Asian,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970654701,6,5,,,3,3,31-45,,,3,4,,,4,4,4,5,6,5,6,5,6,5,,,3,3,Women,5,5,6,4,,,3,4,7,5,India,South Asian,Male,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970658613,4,4,,,4,3,31-45,,,2,2,,,3,4,5,5,3,4,6,5,7,4,,,3,3,Women,2,5,2,2,,,3,2,2,4,USA,White,Female,female,east_asian,http://img1.ak.crunchyroll.com/i/spire3/07252008/8/4/2/7/842740d377d320_full.jpg
1970314820,5,5,,,4,4,18-24,,,4,4,,,4,4,5,5,5,5,5,5,5,4,,,4,3,Women,5,5,5,5,,,4,4,6,5,USA,White,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970410939,6,7,1,1,1,1,18-24,4,3,5,5,2,3,5,5,5,7,5,5,5,5,7,7,4,3,2,2,Women,5,5,5,5,1,1,1,1,5,5,India,South Asian,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970412844,4,4,,,3,3,31-45,,,3,3,,,3,3,3,3,4,4,4,4,4,4,,,3,3,Women,4,4,4,4,,,3,3,4,4,Turkey,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970413508,6,5,,,5,4,18-24,,,5,5,,,5,5,5,5,7,4,5,4,5,4,,,4,4,Women,7,4,5,5,,,4,5,4,6,India,East Asian,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970413843,5,5,,,4,4,18-24,,,4,4,,,4,4,5,5,5,5,5,5,5,5,,,4,4,Women,5,5,5,5,,,4,4,5,5,India,East Asian,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970415564,6,4,,,3,3,31-45,,,4,4,,,3,4,5,3,6,4,5,4,6,4,,,4,3,Women,5,6,4,6,,,4,3,4,6,India,South Asian,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970415653,5,4,,,3,3,25-30,,,4,4,,,4,3,6,4,6,5,6,5,6,4,,,2,3,Women,6,5,6,6,,,3,3,6,5,Turkey,White,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970416315,6,5,,,3,4,31-45,,,5,4,,,5,4,6,7,6,7,5,6,6,6,,,4,5,Women,7,7,7,6,,,4,4,7,6,Turkey,White,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970417321,5,5,,,4,3,18-24,,,4,5,,,5,5,5,5,5,5,5,5,6,6,,,3,3,Women,6,5,7,6,,,3,3,6,4,India,South Asian,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970419025,6,5,3,3,,,61+,3,3,,,3,3,,,6,2,5,5,6,6,7,3,4,4,,,Men,6,6,2,5,4,3,,,2,6,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970419127,5,4,,,4,2,31-45,,,5,3,,,5,4,6,7,7,7,6,3,4,6,,,4,3,Women,6,5,5,5,,,3,4,7,7,India,South Asian,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970420212,2,2,3,3,,,25-30,4,4,,,3,2,,,6,3,3,3,4,4,6,5,2,1,,,Men,5,6,4,5,2,1,,,4,6,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970420504,2,2,,,2,2,31-45,,,5,5,,,5,4,4,4,3,3,5,5,7,6,,,3,3,Women,7,7,7,7,,,4,4,6,6,India,South Asian,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970422917,6,6,3,3,,,25-30,5,5,,,1,1,,,7,7,7,7,7,7,6,7,1,1,,,Men,6,6,6,7,2,2,,,6,6,Turkey,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970423364,2,2,2,1,,,31-45,4,3,,,3,3,,,5,5,3,3,4,4,4,5,1,1,,,Men,4,5,3,3,2,2,,,4,4,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970426148,5,5,,,1,1,31-45,,,4,4,,,3,3,5,5,5,6,5,5,5,5,,,2,2,Women,5,5,5,5,,,2,2,5,5,Turkey,Beyaz,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970427970,6,6,,,3,3,61+,,,5,5,,,4,3,5,5,5,5,5,4,6,6,,,5,5,Women,6,6,3,4,,,3,3,5,6,USA,White,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970429417,6,6,,,5,5,31-45,,,5,5,,,5,5,6,6,6,6,6,3,5,5,,,5,5,Women,4,4,7,7,,,5,5,4,4,India,South Asian,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970430540,2,2,,,3,3,18-24,,,3,3,,,3,3,6,6,3,3,5,5,7,7,,,3,3,Women,3,3,4,4,,,3,3,3,3,India,South Asian,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970432216,6,6,,,1,1,25-30,,,4,2,,,4,3,6,5,5,6,3,3,6,6,,,2,1,Women,5,3,5,4,,,4,2,5,4,Turkey,Beyaz,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970435060,4,5,,,3,4,25-30,,,3,5,,,3,4,3,4,7,5,7,4,6,7,,,3,4,Women,6,6,5,7,,,3,5,6,7,Nigeria,Black,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970437375,4,5,,,3,3,18-24,,,4,4,,,4,4,5,6,7,7,6,5,7,7,,,2,2,Women,5,6,6,7,,,4,2,6,7,India,East Asian,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970437376,2,2,3,3,,,61+,3,3,,,3,3,,,6,6,3,3,6,6,6,5,3,3,,,Men,5,7,5,5,3,3,,,6,7,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970438220,6,7,,,1,1,18-24,,,3,3,,,5,4,7,6,7,7,7,6,7,6,,,2,2,Women,7,7,7,6,,,1,1,7,6,India,South Asian,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970438638,6,6,3,3,,,31-45,3,4,,,3,3,,,6,6,6,6,6,6,6,6,3,3,,,Men,6,7,6,5,3,3,,,6,6,USA,Beyaz,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970438701,2,2,3,3,,,31-45,3,3,,,3,3,,,4,4,3,3,4,4,4,4,3,3,,,Men,4,4,4,4,3,3,,,4,4,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970443775,4,4,3,3,,,31-45,3,3,,,3,2,,,5,3,6,3,6,6,5,3,3,3,,,Men,5,7,4,5,2,2,,,4,6,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970467871,7,6,1,1,,,25-30,4,4,,,1,1,,,6,7,6,5,7,5,6,4,3,3,,,Men,5,5,4,7,1,1,,,5,4,Turkey,Beyaz,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970471659,2,2,,,2,2,25-30,,,5,4,,,4,4,6,6,3,3,4,4,5,4,,,1,1,Women,5,7,4,6,,,3,3,5,7,India,South Asian,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970478523,2,2,4,4,,,46-60,4,4,,,4,4,,,6,4,3,3,6,6,6,6,4,4,,,Men,2,6,7,7,4,4,,,2,6,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970480003,7,7,5,5,,,25-30,,,5,4,,,5,4,7,4,4,4,7,4,7,3,,,4,3,Either,5,7,1,5,4,3,,,5,7,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970486008,2,2,3,3,,,61+,2,2,,,4,4,,,5,4,3,3,6,6,6,5,3,3,,,Men,5,5,5,5,4,4,,,5,6,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970487829,6,5,2,4,,,46-60,3,4,,,3,3,,,7,4,6,6,7,5,6,4,2,2,,,Men,5,7,3,7,3,2,,,4,7,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970492545,5,5,1,1,,,25-30,2,3,,,4,2,,,5,5,5,5,6,5,6,6,1,1,,,Men,6,6,6,6,1,1,,,6,7,Turkey,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970494837,6,6,,,3,3,31-45,,,3,3,,,4,4,6,6,7,7,7,7,7,7,,,3,3,Women,6,6,5,5,,,3,3,5,6,Turkey,White,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970497478,5,5,5,3,,,31-45,3,3,,,3,3,,,7,3,7,2,7,5,7,4,3,3,,,Men,6,7,5,7,2,2,,,3,7,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970505713,5,5,5,4,,,25-30,,,3,5,,,5,4,2,3,6,4,7,7,7,5,,,4,2,Either,5,7,3,5,3,2,,,5,6,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970511670,2,2,,,3,3,31-45,,,4,3,,,4,3,5,5,3,3,5,6,5,7,,,3,3,Women,3,3,5,4,,,3,3,5,4,Turkey,White,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970514957,6,2,5,1,,,46-60,,,2,5,,,4,2,6,3,6,5,6,2,7,3,,,4,1,Either,2,7,1,7,5,1,,,1,7,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970557467,2,2,4,3,,,46-60,4,3,,,4,3,,,6,6,3,3,5,4,6,4,4,4,,,Men,5,6,4,6,4,4,,,4,6,India,South Asian,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970558528,2,2,4,3,,,46-60,3,4,,,3,3,,,5,5,3,3,6,6,6,6,1,2,,,Men,6,6,4,5,2,3,,,6,5,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970590000,7,5,2,2,,,younger than 18,5,5,,,4,3,,,4,4,4,6,7,5,6,2,4,3,,,Men,6,7,1,4,4,3,,,3,4,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970590538,4,4,2,2,,,18-24,2,2,,,3,3,,,5,4,4,4,6,5,5,5,3,3,,,Men,4,5,2,4,3,3,,,4,5,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970606318,5,5,,,3,3,31-45,,,3,3,,,3,3,5,5,5,5,5,5,5,5,,,3,3,Women,5,5,5,5,,,3,3,5,5,USA,Latino/Hispanic,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970607500,4,4,1,2,,,25-30,3,3,,,3,3,,,4,4,4,4,5,4,5,3,5,3,,,Men,4,4,5,4,2,3,,,4,4,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970613965,5,5,2,2,2,2,61+,3,,3,3,2,2,2,2,4,4,6,6,7,7,7,4,2,2,1,1,Men,7,7,6,6,2,2,2,2,6,7,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970615021,4,4,4,4,,,25-30,4,4,,,3,3,,,4,3,5,4,6,4,6,5,3,2,,,Men,5,7,3,6,2,3,,,4,7,USA,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970615617,6,5,,,4,4,31-45,,,3,2,,,4,4,5,5,6,6,6,5,6,4,,,3,4,Women,5,7,5,5,,,3,3,4,6,USA,White,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970621363,7,5,3,3,,,18-24,4,1,,,2,4,,,7,1,7,1,5,6,7,1,4,1,,,Men,7,3,1,7,2,3,,,7,7,Turkey,White,Female,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg
1970621809,5,4,,,1,3,18-24,,,2,3,,,3,4,1,1,7,1,5,2,7,3,,,1,4,Women,5,5,3,6,,,2,3,4,6,Turkey,South Asian,Male,female,black,http://my.xfinity.com/blogs/tv/files/2014/01/snl1.jpg